20,Kenyon Martin Jr.,HOU,22,50,12,38,25.3,109.3,114.2,-5.0,8.4,1.25,12.1,5.4,15.3,10.3,9.7,61.2,62.1,16.2,102.05,10.4,2687
20,Kevon Looney,GSW,26,50,26,24,23.3,116.5,113.1,3.3,14.8,5.63,32.3,12.7,23.3,18.0,5.7,64.1,65.0,10.0,102.80,11.2,2490
20,Nicolas Batum,LAC,34,50,28,22,21.8,112.8,107.8,5.0,9.2,1.97,19.8,4.0,14.8,9.5,10.1,59.1,60.1,11.3,100.54,7.7,2289
20,P.J. Washington,CHA,24,50,15,35,32.4,107.1,116.4,-9.3,10.9,1.66,13.7,2.9,10.9,6.7,8.3,52.1,54.7,19.2,102.91,8.1,3476
20,Reggie Bullock,DAL,31,50,26,24,29.5,113.7,115.1,-1.4,5.7,2.90,16.4,1.7,10.3,6.0,5.6,54.3,55.1,9.5,96.61,4.6,2969
20,Tari Eason,HOU,21,50,12,38,19.4,107.8,111.7,-3.9,7.8,0.92,9.8,10.2,17.5,13.7,10.6,49.5,52.5,18.3,102.85,10.0,2083
20,Tre Jones,SAS,23,50,14,36,29.8,109.2,117.7,-8.5,29.4,3.61,30.6,2.5,9.8,5.9,8.5,46.7,51.5,19.8,102.45,10.7,3183
20,Tyus Jones,MEM,26,50,32,18,23.6,112.9,110.2,2.7,26.9,5.49,31.5,1.6,7.3,4.4,5.7,52.8,55.0,17.7,103.03,11.7,2535
39,Bojan Bogdanovic,DET,33,49,13,36,31.6,112.2,120.4,-8.1,13.7,1.18,12.2,1.7,10.0,5.8,10.3,57.1,62.8,24.9,101.57,11.6,3274
39,Brook Lopez,MIL,34,49,32,17,30.4,110.9,107.0,4.0,6.0,0.88,8.6,6.0,12.8,9.5,9.8,58.8,61.0,17.8,101.98,10.2,3168
39,Bruce Brown,DEN,26,49,34,15,28.9,115.1,113.3,1.8,17.0,2.21,24.4,2.8,11.8,7.4,11.0,56.7,58.2,16.4,99.79,9.0,2943
39,Harrison Barnes,SAC,30,49,28,21,32.7,119.1,114.7,4.4,6.7,1.33,11.1,3.0,11.9,7.5,8.4,56.7,63.6,17.2,101.69,9.2,3393
39,Kyle Kuzma,WAS,27,49,24,25,35.4,113.1,111.3,1.8,17.1,1.31,14.8,2.7,17.5,10.4,11.2,52.8,55.1,27.2,101.23,11.4,3651
39,Max Strus,MIA,26,49,26,23,30.3,107.6,110.8,-3.2,11.1,2.23,14.8,2.3,10.1,6.1,6.6,51.7,54.1,17.8,98.21,7.7,3051
39,Nikola Vucevic,CHI,32,49,23,26,33.9,112.1,112.9,-0.8,14.5,1.80,16.8,6.8,26.4,16.9,9.3,58.0,60.1,21.1,100.82,14.0,3491
