MIA,3.5,135,CLE,-3.5,-165
LAL,2,105,NYK,-2,-125
CHA,11.5,400,MIL,-11.5,-550
LAC,-3,-145,CHI,3,122
NOP,6.5,215,DEN,-6.5,-255
