20,"Jones, Tyus",MEM,50,32,18,46.6,39.8,86.4,46.0,12.8,35.8,35.7,17.8,23.2,76.7,11.0,32.8,43.8,26.3,15.5,6.2,4.5,5.4,18.5,19.9,110.1,-2.8
20,"Looney, Kevon",GSW,50,26,24,46.8,41.7,88.0,47.4,12.3,33.3,37.1,18.2,23.1,78.7,9.6,31.4,40.9,24.7,12.7,6.7,3.8,3.9,16.9,20.0,113.9,-2.6
20,"Martin Jr., Kenyon",HOU,50,12,38,47.1,40.6,86.1,47.1,13.5,38.3,35.4,19.6,25.2,77.6,10.5,29.5,40.0,23.8,13.3,8.6,5.4,4.4,20.9,21.0,114.3,5.1
20,"McDaniels, Jaden",MIN,50,26,24,47.6,40.0,87.3,45.8,13.1,35.3,37.0,18.2,24.4,74.4,11.2,31.2,42.4,25.0,15.3,7.9,3.8,5.8,18.6,22.2,111.2,-2.4
20,"Mobley, Evan",CLE,50,29,21,49.7,39.6,84.9,46.7,13.1,33.5,39.2,16.8,21.8,76.7,9.0,31.2,40.3,24.2,15.5,7.7,4.9,4.6,21.0,18.8,109.2,-3.3
20,"Osman, Cedi",CLE,50,30,20,49.0,39.1,83.9,46.6,11.0,30.1,36.6,18.3,23.2,78.7,10.5,30.6,41.1,21.7,16.3,7.1,4.1,4.2,22.8,19.8,107.5,-7.6
20,"Poole, Jordan",GSW,50,26,24,45.5,39.4,85.5,46.1,12.0,33.7,35.6,19.4,25.5,76.1,10.7,31.7,42.4,23.5,13.9,7.2,4.4,3.7,18.4,22.0,110.3,1.8
20,"Quickley, Immanuel",NYK,50,27,23,48.7,38.4,90.9,42.3,12.0,37.9,31.7,16.7,22.5,73.9,12.8,32.8,45.7,22.6,13.3,5.6,5.0,4.5,20.5,20.7,105.6,-6.6
20,"Russell, D'Angelo",MIN,50,25,25,47.3,41.2,87.8,46.9,13.1,35.1,37.5,17.3,23.1,75.1,11.6,31.5,43.1,25.4,15.1,8.2,3.2,5.3,20.0,21.1,112.9,1.0
20,"Vanderbilt, Jarred",UTA,50,24,26,47.9,44.6,88.8,50.2,11.9,32.2,36.9,18.2,23.2,78.2,11.2,32.0,43.3,24.8,13.3,6.6,4.8,3.3,19.8,21.8,119.2,2.3
20,"Wagner, Franz",ORL,50,19,31,47.9,40.4,86.6,46.7,12.8,37.1,34.4,17.7,22.3,79.5,9.3,31.7,41.0,25.1,14.1,7.5,4.9,4.7,21.0,20.1,111.4,-0.6
20,"Washington, P.J.",CHA,50,15,35,46.6,42.4,86.1,49.3,13.0,34.3,38.0,18.5,23.8,77.6,10.2,35.3,45.6,26.2,14.7,6.5,5.6,4.6,18.7,20.5,116.4,9.3
20,"Williams, Grant",BOS,50,36,14,48.1,41.7,87.9,47.5,11.4,31.3,36.2,15.3,19.7,77.9,8.8,33.4,42.2,22.5,12.6,6.1,3.9,4.7,19.4,18.1,110.1,-5.3
39,"Barnes, Harrison",SAC,49,28,21,47.2,43.7,87.9,49.7,11.0,30.9,35.6,16.5,21.0,78.7,9.3,31.4,40.7,25.4,13.4,6.9,3.9,2.6,21.8,18.8,114.9,-4.2
39,"Barnes, Scottie",TOR,49,21,28,48.5,41.0,83.4,49.2,12.7,33.2,38.3,18.3,22.9,80.1,9.8,33.0,42.8,25.8,16.8,5.8,4.5,5.3,20.4,19.4,113.1,-2.2
39,"Bogdanovic, Bojan",DET,49,13,36,47.3,44.4,88.6,50.2,12.1,32.9,36.7,19.6,24.4,80.4,11.0,32.7,43.7,26.0,12.9,7.3,6.0,3.5,20.8,21.0,120.6,8.3
39,"Brown, Bruce",DEN,49,34,15,48.2,41.5,87.1,47.6,12.0,34.0,35.3,18.7,24.0,77.8,10.4,30.6,41.0,25.5,14.1,7.5,4.5,4.8,20.8,19.7,113.7,-1.4
39,"Craig, Torrey",PHX,49,26,23,48.4,43.1,88.0,48.9,12.0,32.2,37.4,19.4,24.3,79.8,10.8,33.5,44.3,24.7,13.9,7.4,4.0,4.6,18.4,20.5,117.5,7.2
39,"Hauser, Sam",BOS,49,34,15,47.1,40.7,88.7,45.8,11.1,32.0,34.6,16.3,21.0,77.4,11.0,31.8,42.8,21.1,12.3,7.5,4.2,5.7,17.9,18.3,108.7,-4.2
39,"Kessler, Walker",UTA,49,24,25,47.5,40.9,89.7,45.6,12.1,32.7,36.9,16.8,20.9,80.4,10.2,30.2,40.4,23.6,13.0,8.6,4.8,6.5,20.6,17.8,110.6,-3.8
39,"Kuzma, Kyle",WAS,49,24,25,47.5,41.5,90.2,46.0,11.5,32.6,35.4,17.0,21.3,79.8,10.7,32.7,43.4,23.6,12.0,6.9,4.5,5.2,18.9,18.7,111.5,-1.6
39,"Lopez, Brook",MIL,49,32,17,47.0,40.4,90.3,44.7,11.7,33.4,35.1,14.4,18.5,77.6,10.0,32.4,42.4,22.7,11.3,7.7,4.3,6.0,17.5,16.7,106.8,-4.1
39,"McConnell, T.J.",IND,49,22,27,45.8,40.3,84.5,47.7,12.0,32.7,36.8,18.5,24.0,77.2,11.8,30.2,42.1,25.1,16.1,7.6,5.1,5.8,22.1,21.1,111.1,2.9
39,"Okongwu, Onyeka",ATL,49,25,24,47.4,40.9,86.9,47.0,11.2,33.2,33.8,19.9,24.7,80.4,10.8,34.4,45.2,25.0,14.0,7.3,5.1,4.9,18.7,20.0,112.9,2.1
39,"Sharpe, Shaedon",POR,49,23,26,48.0,41.9,86.8,48.3,12.3,33.2,37.0,17.7,23.2,76.5,9.8,30.4,40.2,26.8,13.6,7.8,3.9,4.2,20.9,21.3,113.9,2.9
39,"Strus, Max",MIA,49,26,23,48.7,39.9,84.1,47.4,13.9,36.7,37.9,16.1,20.8,77.4,9.0,34.2,43.1,25.4,16.0,7.2,3.7,2.9,20.1,18.6,109.8,2.2
39,"Vucevic, Nikola",CHI,49,23,26,47.6,41.3,86.1,48.0,13.3,35.7,37.3,16.8,21.7,77.7,8.8,33.9,42.7,26.4,13.8,6.6,4.6,4.3,17.6,18.0,112.8,0.7
39,"Williams, Patrick",CHI,49,23,26,47.6,41.8,87.3,47.9,12.6,35.6,35.5,17.2,22.1,77.6,9.3,34.4,43.7,26.3,13.7,6.8,4.6,4.6,17.2,19.2,113.4,3.4
54,"Avdija, Deni",WAS,48,23,25,47.9,41.9,91.1,46.0,12.2,33.6,36.2,16.8,21.0,80.0,11.1,32.7,43.8,23.0,12.5,6.3,4.3,4.8,20.2,19.0,112.8,0.9
54,"Bey, Saddiq",DET,48,11,37,46.8,43.7,87.2,50.2,11.6,32.1,36.2,19.5,24.7,78.9,11.0,33.1,44.1,24.9,14.0,6.7,6.2,3.2,21.1,21.4,118.6,7.5
54,"Brunson, Jalen",NYK,48,26,22,48.8,41.6,89.1,46.7,13.8,38.1,36.1,18.7,23.9,78.5,11.0,32.3,43.4,26.2,12.2,6.0,4.4,4.3,23.3,20.4,115.8,-1.2
54,"Caldwell-Pope, Kentavious",DEN,48,33,15,47.6,40.9,85.5,47.9,11.3,32.5,34.8,17.3,22.5,77.2,9.3,29.3,38.6,25.5,14.3,7.3,4.1,4.5,21.1,17.9,110.5,-12.0
54,"Eubanks, Drew",POR,48,22,26,48.5,41.4,86.4,48.0,11.8,32.1,36.9,20.6,26.6,77.4,10.9,30.4,41.3,25.8,14.2,7.6,3.7,5.4,22.0,21.1,115.3,-0.3
54,"Gafford, Daniel",WAS,48,22,26,47.6,40.0,91.1,43.9,11.1,33.4,33.2,16.5,21.1,78.2,12.1,32.5,44.6,23.3,12.3,6.5,5.5,6.4,19.5,17.7,107.7,-2.7
54,"Grant, Jerami",POR,48,22,26,48.5,42.6,88.1,48.4,11.9,31.1,38.2,18.7,23.8,78.9,10.2,31.3,41.6,25.9,13.0,7.5,4.6,4.6,21.8,20.4,115.8,-1.2
